timestamp,currency,impact,event,actual,forecast,previous
2010-07-22 09:00:00,USD,Low Impact Expected,FOMC Member Dudley Speaks,,,
2010-07-22 09:00:00,USD,Low Impact Expected,HPI m/m,0.5%,-0.3%,0.9%
2010-07-22 09:30:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,
2010-07-22 09:30:00,USD,Low Impact Expected,Natural Gas Storage,51B,53B,78B
2010-07-22 10:30:00,CAD,High Impact Expected,BOC Press Conference,,,
2010-07-22 20:30:00,AUD,Medium Impact Expected,Import Prices q/q,1.9%,1.0%,0.3%
2010-07-23 01:45:00,EUR,Medium Impact Expected,French Consumer Spending m/m,-1.4%,0.3%,0.6%
2010-07-23 03:00:00,EUR,High Impact Expected,German Ifo Business Climate,106.2,101.5,101.8
2010-07-23 03:00:00,EUR,Low Impact Expected,Italian Retail Sales m/m,-0.3%,0.2%,-0.5%
2010-07-23 03:30:00,GBP,High Impact Expected,Prelim GDP q/q,1.1%,0.6%,0.3%
2010-07-23 03:30:00,GBP,Medium Impact Expected,High Street Lending,34.8K,37.0K,36.4K
2010-07-23 03:30:00,GBP,Low Impact Expected,Index of Services 3m/3m,0.8%,0.7%,0.6%
2010-07-23 06:00:00,CAD,High Impact Expected,Core CPI m/m,-0.1%,0.1%,0.3%
2010-07-23 06:00:00,CAD,Medium Impact Expected,CPI m/m,-0.1%,0.0%,0.3%
2010-07-23 08:00:00,EUR,Medium Impact Expected,Belgian NBB Business Climate,-6.5,-7.9,-7.7
2010-07-23 11:00:00,EUR,High Impact Expected,EBA Bank Stress Test Results,,,
2010-07-25 18:50:00,JPY,Medium Impact Expected,Trade Balance,0.46T,0.54T,0.32T
2010-07-25 20:30:00,AUD,High Impact Expected,PPI q/q,0.3%,1.2%,1.0%
2010-07-26 09:00:00,USD,High Impact Expected,New Home Sales,330K,317K,267K
2010-07-26 18:50:00,JPY,Low Impact Expected,SPPI y/y,-1.0%,-0.9%,-0.8%
2010-07-26 19:00:00,AUD,Medium Impact Expected,CB Leading Index m/m,0.3%,,0.1%
2010-07-27 01:00:00,CHF,Medium Impact Expected,UBS Consumption Indicator,1.81,,1.71
2010-07-27 01:00:00,EUR,Medium Impact Expected,German GfK Consumer Climate,3.9,3.6,3.6
2010-07-27 01:00:00,EUR,Low Impact Expected,German Import Prices m/m,0.9%,0.7%,0.6%
2010-07-27 03:00:00,EUR,Medium Impact Expected,M3 Money Supply y/y,0.2%,-0.1%,-0.1%
2010-07-27 03:00:00,EUR,Low Impact Expected,Private Loans y/y,0.3%,0.3%,0.2%
2010-07-27 05:00:00,GBP,Medium Impact Expected,CBI Realized Sales,33,2,-5
2010-07-27 08:00:00,USD,Medium Impact Expected,S&P/CS Composite-20 HPI y/y,4.6%,3.9%,3.8%
2010-07-27 09:00:00,USD,High Impact Expected,CB Consumer Confidence,50.4,51.3,54.3
2010-07-27 09:00:00,USD,Low Impact Expected,Richmond Manufacturing Index,16,14,23
2010-07-27 20:30:00,AUD,High Impact Expected,CPI q/q,0.6%,1.0%,0.9%
2010-07-27 20:30:00,AUD,Medium Impact Expected,Trimmed Mean CPI q/q,0.5%,0.8%,0.8%
2010-07-27 22:00:00,NZD,High Impact Expected,ANZ Business Confidence,27.9,,40.2
2010-07-28 00:00:00,EUR,Medium Impact Expected,German Prelim CPI m/m,0.2%,0.2%,0.1%
2010-07-28 03:45:00,GBP,High Impact Expected,BOE Gov King Speaks,,,
2010-07-28 07:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,-0.6%,0.6%,1.2%
2010-07-28 07:30:00,USD,Medium Impact Expected,Durable Goods Orders m/m,-1.0%,0.9%,-0.8%
2010-07-28 09:30:00,USD,Medium Impact Expected,Crude Oil Inventories,7.3M,-1.4M,0.4M
2010-07-28 13:00:00,USD,Medium Impact Expected,Beige Book,,,
2010-07-28 16:00:00,NZD,High Impact Expected,Official Cash Rate,3.00%,3.00%,2.75%
2010-07-28 16:00:00,NZD,High Impact Expected,RBNZ Rate Statement,,,
2010-07-28 17:45:00,NZD,Medium Impact Expected,Trade Balance,276M,359M,768M
2010-07-28 18:50:00,JPY,Medium Impact Expected,Retail Sales y/y,3.2%,3.3%,2.9%
2010-07-29 01:00:00,GBP,High Impact Expected,Nationwide HPI m/m,-0.5%,-0.2%,0.0%
2010-07-29 02:55:00,EUR,Medium Impact Expected,German Unemployment Change,-20K,-18K,-20K
2010-07-29 03:00:00,EUR,Low Impact Expected,Retail PMI,52.4,,50.4
2010-07-29 03:30:00,GBP,Medium Impact Expected,Net Lending to Individuals m/m,0.6B,1.3B,1.1B
2010-07-29 03:30:00,GBP,Low Impact Expected,Mortgage Approvals,48K,48K,49K
2010-07-29 04:27:00,EUR,Medium Impact Expected,Italian 10-y Bond Auction,3.92|1.3,,4.09|1.3
2010-07-29 07:30:00,CAD,Medium Impact Expected,RMPI m/m,-0.3%,1.1%,-7.3%
2010-07-29 07:30:00,CAD,Low Impact Expected,IPPI m/m,-0.9%,0.3%,0.4%
2010-07-29 07:30:00,USD,High Impact Expected,Unemployment Claims,457K,457K,468K
2010-07-29 09:30:00,USD,Low Impact Expected,Natural Gas Storage,28B,31B,51B
2010-07-29 17:45:00,NZD,Medium Impact Expected,Building Consents m/m,3.5%,,-9.5%
2010-07-29 18:01:00,GBP,Medium Impact Expected,GfK Consumer Confidence,-22,-21,-19
2010-07-29 18:15:00,JPY,Low Impact Expected,Final Manufacturing PMI,52.8,,53.9
2010-07-29 18:30:00,JPY,Medium Impact Expected,Household Spending y/y,0.5%,-0.8%,-0.7%
2010-07-29 18:30:00,JPY,Medium Impact Expected,Tokyo Core CPI y/y,-1.3%,-1.2%,-1.3%
2010-07-29 18:30:00,JPY,Low Impact Expected,National Core CPI y/y,-1.0%,-1.0%,-1.2%
2010-07-29 18:30:00,JPY,Low Impact Expected,Unemployment Rate,5.3%,5.2%,5.2%
2010-07-29 18:50:00,JPY,Medium Impact Expected,Prelim Industrial Production m/m,-1.5%,0.2%,0.1%
2010-07-29 20:30:00,AUD,Medium Impact Expected,Private Sector Credit m/m,0.2%,0.4%,0.5%
2010-07-30 00:00:00,JPY,Low Impact Expected,Housing Starts y/y,0.6%,1.7%,-4.6%
2010-07-30 01:00:00,EUR,Medium Impact Expected,German Retail Sales m/m,-0.9%,0.0%,3.0%
2010-07-30 02:00:00,EUR,Medium Impact Expected,Spanish Unemployment Rate,20.1%,20.0%,20.1%
2010-07-30 04:00:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,1.7%,1.8%,1.4%
2010-07-30 04:00:00,EUR,Medium Impact Expected,Unemployment Rate,10.0%,10.0%,10.0%
2010-07-30 04:00:00,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.4%,0.2%,0.0%
2010-07-30 04:30:00,CHF,High Impact Expected,KOF Economic Barometer,2.23,2.32,2.23
2010-07-30 05:00:00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,8.5%,8.8%,8.6%
2010-07-30 07:30:00,CAD,High Impact Expected,GDP m/m,0.1%,0.1%,0.0%
2010-07-30 07:30:00,USD,High Impact Expected,Advance GDP q/q,2.4%,2.5%,2.7%
2010-07-30 07:30:00,USD,Medium Impact Expected,Advance GDP Price Index q/q,1.8%,1.1%,1.1%
2010-07-30 07:30:00,USD,Medium Impact Expected,Employment Cost Index q/q,0.5%,0.5%,0.6%
2010-07-30 08:45:00,USD,Medium Impact Expected,Chicago PMI,62.3,56.3,59.1
2010-07-30 08:55:00,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,67.8,67.3,66.5
2010-07-30 08:55:00,USD,Low Impact Expected,Revised UoM Inflation Expectations,2.7%,,2.9%
2010-07-31 20:00:00,CNY,High Impact Expected,Manufacturing PMI,51.2,51.5,52.1
2010-08-01 18:28:00,AUD,Low Impact Expected,AIG Manufacturing Index,54.4,,52.9
2010-08-01 19:30:00,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.1%,,0.3%
2010-08-01 20:00:00,AUD,Medium Impact Expected,HIA New Home Sales m/m,-5.1%,,-6.4%
2010-08-01 20:30:00,JPY,Medium Impact Expected,Average Cash Earnings y/y,1.5%,0.7%,0.1%
2010-08-01 21:30:00,CNY,Medium Impact Expected,Caixin Manufacturing PMI,49.4,,50.4
2010-08-01 22:06:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.8%,,-1.6%
2010-08-02 02:15:00,CHF,High Impact Expected,Retail Sales y/y,0.9%,4.1%,3.9%
2010-08-02 02:15:00,EUR,Medium Impact Expected,Spanish Manufacturing PMI,51.6,,51.2
2010-08-02 02:30:00,CHF,Medium Impact Expected,Manufacturing PMI,66.9,64.9,65.7
2010-08-02 02:45:00,EUR,Medium Impact Expected,Italian Manufacturing PMI,54.4,54.7,54.3
2010-08-02 02:50:00,EUR,Low Impact Expected,French Final Manufacturing PMI,53.9,53.7,53.7
2010-08-02 02:55:00,EUR,Low Impact Expected,German Final Manufacturing PMI,61.2,61.2,61.2
2010-08-02 03:00:00,EUR,Low Impact Expected,Final Manufacturing PMI,56.7,56.5,56.5
2010-08-02 03:30:00,GBP,High Impact Expected,Manufacturing PMI,57.3,57.1,57.6
2010-08-02 00:00:00,CAD,Non-Economic,Bank Holiday,,,
2010-08-02 09:00:00,USD,High Impact Expected,ISM Manufacturing PMI,55.5,54.2,56.2
2010-08-02 09:00:00,USD,Low Impact Expected,Construction Spending m/m,0.1%,-0.4%,-1.0%
2010-08-02 09:00:00,USD,Low Impact Expected,ISM Manufacturing Prices,57.5,55.2,57.0
2010-08-02 09:15:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
2010-08-02 15:00:00,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
2010-08-02 17:45:00,NZD,High Impact Expected,Labor Cost Index q/q,0.4%,0.4%,0.3%
2010-08-02 18:50:00,JPY,Low Impact Expected,Monetary Base y/y,6.1%,3.7%,3.6%
2010-08-02 20:00:00,CNY,Low Impact Expected,Non-Manufacturing PMI,60.1,,57.4
2010-08-02 20:30:00,AUD,High Impact Expected,Building Approvals m/m,-3.3%,2.1%,-6.4%
2010-08-02 20:30:00,AUD,High Impact Expected,Retail Sales m/m,0.2%,0.4%,0.2%
2010-08-02 22:45:00,JPY,Low Impact Expected,10-y Bond Auction,1.06|4.2,,1.12|2.8
2010-08-02 23:30:00,AUD,High Impact Expected,Cash Rate,4.50%,4.50%,4.50%
2010-08-02 23:30:00,AUD,High Impact Expected,RBA Rate Statement,,,
2010-08-03 01:30:00,AUD,Medium Impact Expected,Commodity Prices y/y,51.0%,,44.0%
2010-08-03 02:00:00,EUR,Medium Impact Expected,Spanish Unemployment Change,-73.8K,,-83.8K
2010-08-03 02:15:00,CHF,Medium Impact Expected,CPI m/m,-0.7%,-0.5%,-0.4%
2010-08-03 03:30:00,GBP,Medium Impact Expected,Construction PMI,54.1,58.2,58.4
2010-08-03 04:00:00,EUR,Low Impact Expected,PPI m/m,0.3%,0.4%,0.3%
2010-08-03 07:30:00,USD,Medium Impact Expected,Core PCE Price Index m/m,0.0%,0.1%,0.1%
2010-08-03 07:30:00,USD,Medium Impact Expected,Personal Spending m/m,0.0%,0.1%,0.1%
2010-08-03 07:30:00,USD,Low Impact Expected,Personal Income m/m,0.0%,0.2%,0.3%
2010-08-03 09:00:00,USD,High Impact Expected,Pending Home Sales m/m,-2.6%,0.5%,-29.9%
2010-08-03 09:00:00,USD,Medium Impact Expected,Factory Orders m/m,-1.2%,-0.2%,-1.8%
2010-08-03 09:30:00,NZD,Low Impact Expected,GDT Price Index,-8.1%,,-14.0%
2010-08-03 00:00:00,USD,Low Impact Expected,Total Vehicle Sales,12.1M,11.5M,11.1M
2010-08-03 18:01:00,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.5%,,1.5%
2010-08-03 18:27:00,AUD,Medium Impact Expected,AIG Services Index,46.6,,48.8
2010-08-03 20:30:00,AUD,High Impact Expected,Trade Balance,3.54B,1.81B,1.83B
2010-08-03 20:30:00,AUD,Medium Impact Expected,HPI q/q,3.1%,2.0%,4.2%
2010-08-04 01:00:00,GBP,High Impact Expected,Halifax HPI m/m,0.6%,-0.4%,-0.6%
2010-08-04 02:15:00,EUR,Low Impact Expected,Spanish Services PMI,51.3,,51.8
2010-08-04 02:45:00,EUR,Low Impact Expected,Italian Services PMI,49.6,51.4,51.5
2010-08-04 02:50:00,EUR,Low Impact Expected,French Final Services PMI,61.1,61.3,61.3
2010-08-04 02:55:00,EUR,Low Impact Expected,German Final Services PMI,56.5,57.3,57.3
2010-08-04 03:00:00,EUR,Low Impact Expected,Final Services PMI,55.8,56.0,56.0
2010-08-04 03:30:00,GBP,High Impact Expected,Services PMI,53.1,54.5,54.4
2010-08-04 04:00:00,EUR,Medium Impact Expected,Retail Sales m/m,0.0%,0.0%,0.4%
2010-08-04 06:30:00,USD,Low Impact Expected,Challenger Job Cuts y/y,-57.2%,,-47.1%
2010-08-04 07:15:00,USD,High Impact Expected,ADP Non-Farm Employment Change,42K,38K,19K
2010-08-04 09:00:00,USD,High Impact Expected,ISM Non-Manufacturing PMI,54.3,53.2,53.8
2010-08-04 09:30:00,USD,Medium Impact Expected,Crude Oil Inventories,-2.8M,-0.9M,7.3M
2010-08-04 15:00:00,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
2010-08-04 17:45:00,NZD,High Impact Expected,Employment Change q/q,-0.3%,0.5%,1.0%
2010-08-04 17:45:00,NZD,High Impact Expected,Unemployment Rate,6.8%,6.3%,6.0%
2010-08-05 02:00:00,CHF,High Impact Expected,Foreign Currency Reserves,220B,,225B
2010-08-05 05:00:00,EUR,Medium Impact Expected,German Factory Orders m/m,3.2%,1.5%,-0.1%
2010-08-05 05:30:00,NZD,Low Impact Expected,GDT Price Index,-1.3%,,2.4%
2010-08-05 06:00:00,GBP,High Impact Expected,Asset Purchase Facility,200B,200B,200B
2010-08-05 06:00:00,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
2010-08-05 06:45:00,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
2010-08-05 07:30:00,CAD,High Impact Expected,Building Permits m/m,6.5%,1.2%,-8.2%
2010-08-05 07:30:00,EUR,High Impact Expected,ECB Press Conference,,,
2010-08-05 07:30:00,USD,High Impact Expected,Unemployment Claims,479K,456K,460K
2010-08-05 09:30:00,USD,Low Impact Expected,Natural Gas Storage,29B,32B,28B
2010-08-05 11:00:00,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
2010-08-05 18:30:00,AUD,Low Impact Expected,AIG Construction Index,43.3,,46.4
2010-08-05 20:30:00,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
2010-08-06 00:00:00,JPY,Low Impact Expected,Leading Indicators,98.9%,98.9%,98.6%
2010-08-06 00:45:00,CHF,Low Impact Expected,Unemployment Rate,3.8%,3.9%,3.9%
2010-08-06 01:45:00,EUR,Low Impact Expected,French Gov Budget Balance,-61.7B,,-67.9B
2010-08-06 01:45:00,EUR,Low Impact Expected,French Trade Balance,-3.8B,-4.6B,-5.2B
2010-08-06 02:30:00,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
2010-08-06 03:00:00,EUR,Low Impact Expected,Italian Industrial Production m/m,0.6%,0.4%,1.0%
2010-08-06 03:30:00,GBP,High Impact Expected,Manufacturing Production m/m,0.3%,0.5%,0.3%
2010-08-06 03:30:00,GBP,High Impact Expected,PPI Input m/m,-1.0%,-0.4%,-0.3%
2010-08-06 03:30:00,GBP,Low Impact Expected,Industrial Production m/m,-0.5%,0.3%,0.7%
2010-08-06 03:30:00,GBP,Low Impact Expected,PPI Output m/m,0.1%,0.1%,-0.3%
2010-08-06 04:00:00,EUR,Low Impact Expected,Italian Prelim GDP q/q,0.4%,0.4%,0.4%
2010-08-06 05:00:00,EUR,Medium Impact Expected,German Industrial Production m/m,-0.6%,0.8%,2.9%
2010-08-06 06:00:00,CAD,High Impact Expected,Employment Change,-9.3K,13.7K,93.2K
2010-08-06 06:00:00,CAD,High Impact Expected,Unemployment Rate,8.0%,7.9%,7.9%
2010-08-06 07:30:00,USD,High Impact Expected,Non-Farm Employment Change,-131K,-63K,-221K
2010-08-06 07:30:00,USD,High Impact Expected,Unemployment Rate,9.5%,9.6%,9.5%
2010-08-06 07:30:00,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.2%,0.1%,0.0%
2010-08-06 09:00:00,CAD,High Impact Expected,Ivey PMI,54.0,55.9,58.9
2010-08-06 09:00:00,GBP,Medium Impact Expected,NIESR GDP Estimate,0.9%,,1.1%
2010-08-06 14:00:00,USD,Low Impact Expected,Consumer Credit m/m,-1.3B,-5.2B,-5.3B
2010-08-08 18:50:00,JPY,Low Impact Expected,Bank Lending y/y,-1.8%,,-2.0%
2010-08-08 18:50:00,JPY,Low Impact Expected,Current Account,1.36T,1.44T,0.90T
2010-08-08 18:50:00,JPY,Low Impact Expected,M2 Money Stock y/y,2.7%,2.9%,2.9%
2010-08-08 20:30:00,AUD,High Impact Expected,ANZ Job Advertisements m/m,1.3%,,2.8%
2010-08-08 20:30:00,AUD,High Impact Expected,Home Loans m/m,-3.9%,-2.1%,3.0%
2010-08-09 00:00:00,JPY,Low Impact Expected,Economy Watchers Sentiment,49.8,48.0,47.5
2010-08-09 01:00:00,EUR,Low Impact Expected,German Trade Balance,12.3B,12.4B,10.6B
2010-08-09 03:30:00,EUR,Low Impact Expected,Sentix Investor Confidence,8.5,2.1,-1.3
2010-08-09 18:01:00,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,0.5%,,1.2%
2010-08-09 18:01:00,GBP,Medium Impact Expected,RICS House Price Balance,-8%,5%,8%
2010-08-09 20:30:00,AUD,Medium Impact Expected,NAB Business Confidence,2,,4
2010-08-09 21:55:00,CNY,High Impact Expected,USD-Denominated Trade Balance,28.7B,19.6B,20.0B
2010-08-09 22:28:00,JPY,Medium Impact Expected,Monetary Policy Statement,,,
2010-08-09 22:28:00,JPY,Medium Impact Expected,Overnight Call Rate,0.10%,0.10%,0.10%
2010-08-10 00:45:00,CHF,Medium Impact Expected,SECO Consumer Climate,16,16,14
2010-08-10 01:00:00,EUR,Low Impact Expected,German Final CPI m/m,0.3%,0.2%,0.2%
2010-08-10 01:00:00,EUR,Low Impact Expected,German WPI m/m,-0.3%,0.3%,-0.2%
2010-08-10 01:06:00,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,144.8%,,143.8%
2010-08-10 01:45:00,EUR,Medium Impact Expected,French Industrial Production m/m,-1.7%,-0.1%,1.9%
2010-08-10 02:13:00,JPY,High Impact Expected,BOJ Press Conference,,,
2010-08-10 03:30:00,GBP,Medium Impact Expected,Goods Trade Balance,-7.4B,-7.7B,-8.0B
2010-08-10 03:30:00,GBP,Low Impact Expected,ONS HPI y/y,9.9%,11.9%,10.6%
2010-08-10 04:00:00,GBP,Low Impact Expected,CB Leading Index m/m,0.5%,,0.2%
2010-08-10 06:30:00,USD,Low Impact Expected,NFIB Small Business Index,88.1,88.1,89.0
2010-08-10 07:15:00,CAD,High Impact Expected,Housing Starts,189K,186K,192K
2010-08-10 07:30:00,CAD,Medium Impact Expected,NHPI m/m,0.1%,0.3%,0.3%
2010-08-10 07:30:00,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,-0.9%,0.3%,2.8%
2010-08-10 07:30:00,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,0.2%,1.4%,-1.3%
2010-08-10 09:00:00,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.1%,0.5%,0.5%
2010-08-10 09:00:00,USD,Low Impact Expected,IBD/TIPP Economic Optimism,43.6,45.6,44.7
2010-08-10 13:15:00,USD,High Impact Expected,FOMC Statement,,,
2010-08-10 13:15:00,USD,High Impact Expected,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2010-08-10 18:01:00,GBP,Medium Impact Expected,Nationwide Consumer Confidence,56,60,63
2010-08-10 18:50:00,JPY,Medium Impact Expected,Core Machinery Orders m/m,1.6%,5.6%,-9.1%
2010-08-10 18:50:00,JPY,Low Impact Expected,PPI y/y,-0.1%,0.0%,0.4%
2010-08-10 19:30:00,AUD,Medium Impact Expected,Westpac Consumer Sentiment,5.4%,,11.1%
2010-08-10 21:00:00,CNY,High Impact Expected,CPI y/y,3.3%,3.3%,2.9%
2010-08-10 21:00:00,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,24.9%,25.3%,25.5%
2010-08-10 21:00:00,CNY,Medium Impact Expected,Industrial Production y/y,13.4%,13.4%,13.7%
2010-08-10 21:00:00,CNY,Medium Impact Expected,NBS Press Conference,,,
2010-08-10 21:00:00,CNY,Medium Impact Expected,PPI y/y,4.8%,5.9%,6.4%
2010-08-10 21:00:00,CNY,Low Impact Expected,Retail Sales y/y,17.9%,18.5%,18.3%
2010-08-10 21:03:00,CNY,Medium Impact Expected,New Loans,533B,600B,603B
2010-08-10 21:03:00,CNY,Low Impact Expected,M2 Money Supply y/y,17.6%,18.6%,18.5%
2010-08-11 00:00:00,JPY,Medium Impact Expected,BOJ Monthly Report,,,
2010-08-11 03:30:00,GBP,High Impact Expected,Claimant Count Change,-3.8K,-17.0K,-15.9K
2010-08-11 03:30:00,GBP,Medium Impact Expected,Average Earnings Index 3m/y,1.3%,1.1%,2.7%
2010-08-11 03:30:00,GBP,Low Impact Expected,Unemployment Rate,7.8%,7.8%,7.8%
2010-08-11 04:30:00,GBP,High Impact Expected,BOE Gov King Speaks,,,
2010-08-11 04:30:00,GBP,High Impact Expected,BOE Inflation Report,,,
2010-08-11 07:30:00,CAD,High Impact Expected,Trade Balance,-1.1B,-0.1B,-0.7B
2010-08-11 07:30:00,USD,High Impact Expected,Trade Balance,-49.9B,-42.0B,-42.0B
2010-08-11 09:00:00,USD,Low Impact Expected,JOLTS Job Openings,2.94M,,2.94M
2010-08-11 09:30:00,USD,Medium Impact Expected,Crude Oil Inventories,-3.0M,-1.9M,-2.8M
2010-08-11 12:00:00,USD,Medium Impact Expected,10-y Bond Auction,2.73|3.0,,3.12|3.1
2010-08-11 12:45:00,USD,Medium Impact Expected,Federal Budget Balance,-165.0B,-168.2B,-68.4B
2010-08-11 17:30:00,NZD,Low Impact Expected,Business NZ Manufacturing Index,49.9,,55.9
2010-08-11 17:47:00,NZD,Low Impact Expected,FPI m/m,1.6%,,1.3%
2010-08-11 20:00:00,AUD,Medium Impact Expected,MI Inflation Expectations,2.8%,,3.3%
2010-08-11 20:30:00,AUD,High Impact Expected,Employment Change,23.5K,20.1K,37.4K
2010-08-11 20:30:00,AUD,High Impact Expected,Unemployment Rate,5.3%,5.1%,5.1%
2010-08-11 23:30:00,JPY,Low Impact Expected,Revised Industrial Production m/m,-1.1%,-1.5%,-1.5%
2010-08-12 00:00:00,JPY,Low Impact Expected,Consumer Confidence,43.3,44.2,43.5
2010-08-12 03:00:00,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
2010-08-12 04:00:00,EUR,Medium Impact Expected,Industrial Production m/m,-0.1%,0.7%,1.1%
2010-08-12 04:00:00,EUR,Low Impact Expected,Italian Trade Balance,-3.06B,-1.41B,-1.93B
2010-08-12 04:41:00,GBP,Medium Impact Expected,10-y Bond Auction,3.49|1.7,,3.47|2.5
2010-08-12 07:30:00,USD,High Impact Expected,Unemployment Claims,484K,465K,482K
2010-08-12 07:30:00,USD,Medium Impact Expected,Import Prices m/m,0.2%,0.4%,-1.3%
2010-08-12 09:00:00,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
2010-08-12 09:30:00,USD,Low Impact Expected,Natural Gas Storage,37B,35B,29B
2010-08-12 12:00:00,USD,Low Impact Expected,30-y Bond Auction,3.95|2.8,,4.08|2.9
2010-08-12 17:00:00,NZD,Medium Impact Expected,REINZ HPI m/m,-1.2%,,0.6%
2010-08-12 17:45:00,NZD,High Impact Expected,Core Retail Sales m/m,1.5%,0.6%,-0.2%
2010-08-12 17:45:00,NZD,Medium Impact Expected,Retail Sales m/m,0.9%,0.5%,0.4%
2010-08-12 17:45:00,NZD,Low Impact Expected,Core Retail Sales q/q,0.9%,,-0.5%
2010-08-12 17:45:00,NZD,Low Impact Expected,Retail Sales q/q,1.3%,0.3%,0.2%
2010-08-12 18:50:00,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
2010-08-13 01:00:00,EUR,High Impact Expected,German Prelim GDP q/q,2.2%,1.3%,0.5%
2010-08-13 01:45:00,EUR,Medium Impact Expected,French Prelim Private Payrolls q/q,0.2%,0.3%,0.2%
2010-08-13 01:45:00,EUR,Low Impact Expected,French Final CPI m/m,-0.3%,-0.4%,0.0%
2010-08-13 01:45:00,EUR,Low Impact Expected,French Prelim GDP q/q,0.6%,0.4%,0.2%
2010-08-13 02:00:00,EUR,Medium Impact Expected,Spanish Flash GDP q/q,0.2%,0.2%,0.1%
2010-08-13 02:15:00,CHF,Medium Impact Expected,PPI m/m,-0.5%,0.2%,-0.4%
2010-08-13 04:00:00,EUR,Medium Impact Expected,Flash GDP q/q,1.0%,0.7%,0.2%
2010-08-13 04:00:00,EUR,Low Impact Expected,Trade Balance,-1.6B,-2.3B,-2.7B
2010-08-13 07:30:00,CAD,Low Impact Expected,New Motor Vehicle Sales m/m,2.5%,2.1%,0.2%
2010-08-13 07:30:00,USD,High Impact Expected,Core CPI m/m,0.1%,0.1%,0.2%
2010-08-13 07:30:00,USD,High Impact Expected,Core Retail Sales m/m,0.2%,0.3%,-0.1%
2010-08-13 07:30:00,USD,High Impact Expected,Retail Sales m/m,0.4%,0.5%,-0.3%
2010-08-13 07:30:00,USD,Medium Impact Expected,CPI m/m,0.3%,0.2%,-0.1%
2010-08-13 08:55:00,USD,High Impact Expected,Prelim UoM Consumer Sentiment,69.6,69.4,67.8
2010-08-13 08:55:00,USD,Low Impact Expected,Prelim UoM Inflation Expectations,2.8%,,2.7%
2010-08-13 09:00:00,USD,Medium Impact Expected,Business Inventories m/m,0.3%,0.3%,0.2%
2010-08-13 10:30:00,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
2010-08-15 18:01:00,GBP,Medium Impact Expected,Rightmove HPI m/m,-1.7%,,-0.6%
2010-08-15 18:50:00,JPY,High Impact Expected,Prelim GDP q/q,0.1%,0.6%,1.1%
2010-08-15 18:50:00,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,-0.1%,0.0%,-0.9%
2010-08-15 18:52:00,JPY,Medium Impact Expected,Prelim GDP Price Index y/y,-1.8%,-1.8%,-2.8%
2010-08-15 20:30:00,AUD,Medium Impact Expected,New Motor Vehicle Sales m/m,-2.6%,,-1.4%
2010-08-16 04:00:00,EUR,Medium Impact Expected,Final CPI y/y,1.7%,1.7%,1.7%
2010-08-16 04:00:00,EUR,Medium Impact Expected,Final Core CPI y/y,1.0%,1.0%,0.9%
2010-08-16 07:30:00,USD,Medium Impact Expected,Empire State Manufacturing Index,7.1,8.1,5.1
2010-08-16 08:00:00,USD,High Impact Expected,TIC Long-Term Purchases,44.4B,36.3B,35.3B
2010-08-16 09:00:00,USD,Low Impact Expected,NAHB Housing Market Index,13,15,14
2010-08-16 13:00:00,USD,Low Impact Expected,Loan Officer Survey,,,
2010-08-16 20:30:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,
2010-08-16 20:54:00,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,20.7%,,19.6%
2010-08-16 21:00:00,CNY,Low Impact Expected,CB Leading Index m/m,0.8%,,0.9%
2010-08-17 03:00:00,EUR,Medium Impact Expected,Current Account,-4.6B,-3.7B,-7.4B
2010-08-17 03:30:00,GBP,High Impact Expected,CPI y/y,3.1%,3.1%,3.2%
2010-08-17 03:30:00,GBP,Medium Impact Expected,Core CPI y/y,2.6%,3.0%,3.1%
